FNo,ObjectCount,Time,ObjectColour
1,1,20.194,['Black']
2,1,2.074,['Black']
3,1,5.073,['Black']
4,1,4.561,['Black']
5,1,3.1809999999999996,['Black']
6,1,4.0,['Black']
7,1,4.073,['Black']
8,1,4.621,['Black']
9,1,2.036,['Black']
10,1,3.088,['Black']
11,1,4.5009999999999994,['Black']
12,1,5.08,['Black']
13,1,5.114999999999999,['Black']
14,1,4.021,['Black']
15,1,0.0,['Black']
16,1,0.0,['Black']
17,1,8.112,['Black']
18,1,8.077000000000002,['Black']
19,1,0.0,['Black']
20,1,0.0,['Black']
21,1,4.8919999999999995,['Black']
22,1,4.6049999999999995,['Black']
23,0,0.0,NA
24,0,1.159,NA
25,0,0.0,NA
26,0,0.0,NA
27,0,0.0,NA
28,0,0.0,NA
29,0,0.841,NA
30,0,0.0,NA
31,0,0.0,NA
32,0,0.0,NA
33,0,0.0,NA
34,0,0.0,NA
35,0,0.0,NA
36,0,0.0,NA
37,0,0.0,NA
38,0,0.0,NA
39,0,0.0,NA
40,0,0.49700000000000005,NA
41,0,0.0,NA
42,0,0.0,NA
43,0,0.0,NA
44,0,0.6769999999999999,NA
45,0,0.0,NA
46,0,0.0,NA
47,0,0.0,NA
48,0,0.0,NA
49,0,0.0,NA
50,0,0.502,NA
51,0,0.0,NA
52,0,0.0,NA
53,0,0.0,NA
54,1,4.005,['Black']
55,1,2.412,['Black']
56,1,0.0,['Black']
57,1,4.457,['Black']
58,1,3.605,['Black']
59,1,4.442,['Black']
60,1,5.433000000000001,['Black']
61,1,2.999,['Black']
62,1,1.017,['Black']
63,1,8.022,['Black']
64,1,11.77,['Black']
65,1,11.158,['Black']
66,1,7.563000000000001,['Black']
67,1,6.538,['Black']
68,1,4.531000000000001,['Black']
69,1,4.8549999999999995,['Black']
70,1,4.599,['Black']
71,1,3.1020000000000003,['Black']
72,1,3.499,['Black']
73,1,2.007,['Black']
74,1,6.74,['Black']
75,1,5.423,['Black']
76,1,3.1719999999999997,['Black']
77,1,2.794,['Black']
78,1,3.3400000000000003,['Black']
79,1,4.199,['Black']
80,1,4.085,['Black']
81,0,0.0,NA
82,0,0.0,NA
83,0,0.0,NA
84,0,0.502,NA
85,0,0.0,NA
86,0,0.0,NA
87,1,0.0,['Silver']
88,1,3.471,['Silver']
89,1,3.008,['Silver']
90,1,3.945,['Blue']
91,1,6.327,['Black']
92,1,3.229,['Black']
93,1,3.0599999999999996,['Black']
94,1,2.761,['Black']
95,1,2.291,['Black']
96,1,10.045,['Black']
97,1,6.008,['Black']
98,1,4.785,['Black']
99,1,3.605,['Black']
100,1,18.346999999999998,['Black']
101,1,5.595,['Black']
102,1,6.625,['Black']
103,1,9.581,['Silver']
104,1,5.3309999999999995,['Black']
105,1,23.122,['Black']
106,1,8.07,['Black']
107,1,20.753,['Black']
108,1,5.431,['Black']
109,1,14.63,['Black']
110,1,7.535,['Black']
111,1,35.448,['Black']
112,1,12.605,['Black']
113,1,4.382,['Black']
114,0,0.0,NA
115,0,2.42,NA
116,0,0.0,NA
117,0,0.0,NA
118,0,0.0,NA
119,0,0.0,NA
120,0,0.0,NA
121,0,0.5,NA
122,0,0.495,NA
123,0,5.654,NA
124,0,1.028,NA
125,0,0.49799999999999994,NA
126,0,0.0,NA
127,0,0.8809999999999999,NA
128,0,0.499,NA
129,0,0.883,NA
130,0,0.0,NA
131,0,0.0,NA
132,0,0.525,NA
133,0,0.0,NA
134,0,0.0,NA
135,0,0.0,NA
136,1,3.883,['Red']
137,1,3.9579999999999997,['Red']
138,1,3.185,['Red']
139,1,9.777,['Red']
140,1,0.0,['Red']
141,1,2.109,['Red']
142,1,6.309,['Red']
143,1,4.133,['Red']
144,1,4.293,['Red']
145,1,3.0799999999999996,['Red']
146,1,5.155,['Red']
147,1,3.3600000000000003,['Red']
148,1,11.321,['Red']
149,1,3.5869999999999997,['Red']
150,1,4.255,['Red']
151,1,7.594,['Red']
152,1,7.342,['Red']
153,1,4.692,['Red']
154,1,2.9610000000000003,['Red']
155,1,8.186,['Red']
156,1,3.7889999999999997,['Red']
157,1,5.2909999999999995,['Red']
158,1,6.547,['Red']
159,1,2.221,['Red']
160,1,2.871,['Red']
161,1,3.291,['Red']
162,1,0.0,['Red']
163,0,0.0,NA
164,1,2.232,['Red']
165,0,0.0,NA
166,0,0.501,NA
167,0,0.049,NA
168,0,0.0,NA
169,0,0.587,NA
170,0,0.16,NA
171,0,0.0,NA
172,0,0.345,NA
173,0,0.0,NA
174,0,0.0,NA
175,0,0.0,NA
176,0,0.0,NA
177,0,0.0,NA
178,0,0.0,NA
179,0,0.0,NA
180,0,0.399,NA
181,0,6.072,NA
182,0,0.0,NA
183,0,0.29,NA
184,0,0.0,NA
185,0,0.0,NA
186,0,0.0,NA
187,0,0.0,NA
188,0,0.0,NA
189,0,0.0,NA
190,0,0.0,NA
191,0,0.0,NA
192,0,0.431,NA
193,0,1.186,NA
194,0,0.959,NA
195,0,0.495,NA
196,0,0.0,NA
197,0,0.0,NA
198,0,0.0,NA
199,0,0.5,NA
200,0,0.0,NA
201,0,0.503,NA
202,0,0.0,NA
203,0,0.0,NA
204,0,0.0,NA
205,0,0.0,NA
206,0,0.0,NA
207,0,0.602,NA
208,0,0.0,NA
209,0,0.0,NA
210,0,0.499,NA
211,0,0.0,NA
212,0,0.0,NA
213,0,0.0,NA
214,0,0.0,NA
215,0,2.052,NA
216,0,0.5,NA
217,0,0.0,NA
218,0,0.0,NA
219,0,0.0,NA
220,0,0.0,NA
221,0,0.0,NA
222,0,0.0,NA
223,0,0.0,NA
224,0,0.0,NA
225,0,0.0,NA
226,0,0.0,NA
227,0,0.0,NA
228,0,0.0,NA
229,0,0.0,NA
230,0,0.0,NA
231,0,0.0,NA
232,0,0.0,NA
233,0,0.0,NA
234,0,0.0,NA
235,0,0.0,NA
236,0,0.0,NA
237,0,0.0,NA
238,0,0.0,NA
239,0,0.0,NA
240,0,0.0,NA
241,0,0.0,NA
242,0,0.0,NA
243,0,0.0,NA
244,0,8.149999999999999,NA
245,0,0.0,NA
246,0,0.433,NA
247,0,0.0,NA
248,0,0.0,NA
249,0,0.0,NA
250,0,0.0,NA
251,0,0.0,NA
252,0,0.0,NA
253,0,0.0,NA
254,0,0.0,NA
255,0,0.0,NA
256,0,0.0,NA
257,0,0.0,NA
258,0,1.002,NA
259,0,1.001,NA
260,0,0.0,NA
261,0,0.0,NA
262,0,0.0,NA
263,0,0.5,NA
264,0,8.088,NA
265,0,0.0,NA
266,0,0.0,NA
267,0,0.0,NA
268,0,0.0,NA
269,0,0.0,NA
270,0,0.0,NA
271,0,0.0,NA
272,0,0.0,NA
273,0,0.0,NA
274,0,0.0,NA
275,0,0.0,NA
276,0,0.0,NA
277,0,0.0,NA
278,0,0.0,NA
279,0,0.0,NA
280,0,0.0,NA
281,0,0.495,NA
282,0,0.0,NA
283,0,0.49200000000000005,NA
284,0,0.495,NA
285,0,0.0,NA
286,0,0.0,NA
287,0,0.0,NA
288,0,0.0,NA
289,0,1.0,NA
290,0,0.0,NA
291,0,0.0,NA
292,0,0.0,NA
293,0,0.0,NA
294,0,0.0,NA
295,0,0.0,NA
296,0,0.0,NA
297,0,0.0,NA
298,0,0.0,NA
299,0,0.0,NA
300,0,0.0,NA
301,0,0.0,NA
302,0,0.0,NA
303,0,0.0,NA
304,0,0.0,NA
305,0,0.0,NA
306,0,0.0,NA
307,0,0.0,NA
308,0,0.0,NA
309,0,0.0,NA
310,0,0.0,NA
311,0,0.0,NA
312,0,0.0,NA
313,0,0.0,NA
314,0,0.0,NA
315,0,0.0,NA
316,0,0.0,NA
317,0,0.0,NA
318,0,0.0,NA
319,0,0.0,NA
320,0,0.0,NA
321,0,0.0,NA
322,0,0.0,NA
323,0,0.0,NA
324,0,0.0,NA
325,0,0.0,NA
326,0,0.0,NA
327,0,0.0,NA
328,0,0.0,NA
329,0,0.0,NA
330,0,0.0,NA
331,0,0.0,NA
332,0,0.0,NA
333,0,0.0,NA
334,0,0.0,NA
335,0,0.0,NA
336,0,0.0,NA
337,0,0.0,NA
338,0,0.0,NA
339,0,0.0,NA
340,0,0.0,NA
341,0,0.0,NA
342,0,0.0,NA
343,0,0.0,NA
344,0,0.0,NA
345,0,0.0,NA
346,0,0.0,NA
347,0,0.0,NA
348,0,0.0,NA
349,0,0.0,NA
350,0,0.0,NA
351,0,0.0,NA
