FNo,ObjectCount,Time,Type,Boxes
1,1,8247.548,['Hatchback'],"[[(122, 181), (216, 360)]]"
2,1,298.65799999999996,['Hatchback'],"[[(119, 182), (173, 360)]]"
3,1,319.793,['Hatchback'],"[[(120, 183), (186, 331)]]"
4,1,305.31,['Hatchback'],"[[(119, 180), (150, 337)]]"
5,1,336.078,['Hatchback'],"[[(117, 182), (145, 318)]]"
6,1,320.409,['Hatchback'],"[[(118, 181), (137, 296)]]"
7,1,309.17699999999996,['Hatchback'],"[[(119, 178), (120, 280)]]"
8,1,342.464,['Hatchback'],"[[(118, 182), (112, 258)]]"
9,1,330.746,['Hatchback'],"[[(122, 180), (87, 252)]]"
10,1,314.369,['Hatchback'],"[[(121, 181), (82, 228)]]"
11,1,362.50100000000003,['Hatchback'],"[[(120, 181), (47, 225)]]"
12,1,322.764,['Hatchback'],"[[(120, 181), (50, 193)]]"
13,1,360.402,['Hatchback'],"[[(121, 181), (26, 190)]]"
14,1,369.517,['Hatchback'],"[[(120, 180), (14, 172)]]"
15,1,335.60200000000003,['Hatchback'],"[[(119, 182), (8, 151)]]"
16,1,330.32800000000003,['Hatchback'],"[[(120, 182), (0, 134)]]"
17,1,382.053,['Hatchback'],"[[(121, 179), (0, 123)]]"
18,1,285.748,['Sedan'],"[[(125, 176), (0, 109)]]"
19,1,323.11899999999997,['Sedan'],"[[(122, 176), (0, 93)]]"
20,1,294.60999999999996,['Hatchback'],"[[(117, 181), (0, 75)]]"
21,1,340.882,['Hatchback'],"[[(114, 184), (0, 65)]]"
22,1,360.315,['Sedan'],"[[(121, 181), (0, 40)]]"
23,0,0.0,NA,NA
24,0,0.0,NA,NA
25,0,0.0,NA,NA
26,0,0.0,NA,NA
27,0,0.0,NA,NA
28,0,0.0,NA,NA
29,0,0.0,NA,NA
30,0,0.0,NA,NA
31,0,0.0,NA,NA
32,0,0.0,NA,NA
33,0,0.0,NA,NA
34,0,3.985,NA,NA
35,0,0.499,NA,NA
36,0,0.0,NA,NA
37,0,0.0,NA,NA
38,0,0.634,NA,NA
39,0,0.0,NA,NA
40,0,0.501,NA,NA
41,0,0.0,NA,NA
42,0,0.0,NA,NA
43,0,0.0,NA,NA
44,0,0.182,NA,NA
45,0,0.0,NA,NA
46,0,0.0,NA,NA
47,0,2.023,NA,NA
48,0,0.0,NA,NA
49,0,0.5,NA,NA
50,0,0.0,NA,NA
51,0,0.0,NA,NA
52,0,0.0,NA,NA
53,0,0.0,NA,NA
54,1,407.269,['Hatchback'],"[[(117, 182), (294, 360)]]"
55,1,349.166,['Hatchback'],"[[(110, 179), (282, 360)]]"
56,1,327.337,['Hatchback'],"[[(116, 183), (269, 356)]]"
57,1,371.363,['Hatchback'],"[[(116, 178), (255, 360)]]"
58,1,379.829,['Hatchback'],"[[(118, 183), (235, 360)]]"
59,1,365.272,['Hatchback'],"[[(115, 182), (221, 356)]]"
60,1,437.756,['Hatchback'],"[[(120, 185), (191, 353)]]"
61,1,116.303,['Hatchback'],"[[(119, 182), (189, 329)]]"
62,1,112.714,['Hatchback'],"[[(118, 184), (175, 316)]]"
63,1,193.024,['Hatchback'],"[[(120, 184), (156, 302)]]"
64,1,1268.516,['Hatchback'],"[[(118, 181), (146, 284)]]"
65,1,461.533,['Hatchback'],"[[(122, 180), (124, 276)]]"
66,1,531.7570000000001,['Hatchback'],"[[(116, 183), (113, 255)]]"
67,1,480.15000000000003,['Hatchback'],"[[(119, 179), (99, 239)]]"
68,1,426.709,['Hatchback'],"[[(120, 177), (79, 229)]]"
69,1,593.0360000000001,['Hatchback'],"[[(118, 179), (64, 209)]]"
70,1,413.587,['Hatchback'],"[[(116, 180), (56, 194)]]"
71,1,380.64500000000004,['Hatchback'],"[[(115, 179), (35, 181)]]"
72,1,368.69800000000004,['Hatchback'],"[[(117, 178), (23, 165)]]"
73,1,370.328,['Hatchback'],"[[(115, 181), (13, 147)]]"
74,1,548.275,['Hatchback'],"[[(117, 176), (0, 136)]]"
75,1,359.514,['Hatchback'],"[[(121, 177), (1, 117)]]"
76,1,403.98699999999997,['Hatchback'],"[[(121, 174), (0, 102)]]"
77,1,340.041,['Hatchback'],"[[(116, 174), (0, 89)]]"
78,1,332.077,['Hatchback'],"[[(116, 177), (0, 74)]]"
79,1,381.64300000000003,['Sedan'],"[[(106, 180), (0, 59)]]"
80,1,388.41999999999996,['Hatchback'],"[[(103, 177), (0, 48)]]"
81,0,0.0,NA,NA
82,0,0.559,NA,NA
83,0,0.0,NA,NA
84,0,0.058,NA,NA
85,0,0.5,NA,NA
86,0,0.768,NA,NA
87,1,367.424,['Sedan'],"[[(124, 181), (318, 360)]]"
88,1,395.041,['Sedan'],"[[(119, 186), (301, 357)]]"
89,1,387.591,['Hatchback'],"[[(118, 183), (287, 357)]]"
90,1,424.274,['Hatchback'],"[[(122, 182), (273, 357)]]"
91,1,367.817,['Hatchback'],"[[(120, 183), (258, 360)]]"
92,1,399.932,['Hatchback'],"[[(125, 182), (238, 360)]]"
93,1,447.505,['Hatchback'],"[[(123, 184), (227, 360)]]"
94,1,422.377,['Hatchback'],"[[(120, 184), (209, 354)]]"
95,1,473.067,['Hatchback'],"[[(124, 182), (196, 335)]]"
96,1,364.894,['Hatchback'],"[[(123, 181), (177, 329)]]"
97,1,537.537,['Hatchback'],"[[(125, 182), (162, 306)]]"
98,1,532.791,['Hatchback'],"[[(121, 184), (143, 294)]]"
99,1,527.2130000000001,['Hatchback'],"[[(123, 181), (129, 274)]]"
100,1,450.82,['Hatchback'],"[[(123, 184), (116, 261)]]"
101,1,459.17999999999995,['Hatchback'],"[[(121, 181), (97, 243)]]"
102,1,643.184,['Hatchback'],"[[(123, 182), (87, 230)]]"
103,1,419.128,['Hatchback'],"[[(121, 181), (38, 243)]]"
104,1,423.271,['Hatchback'],"[[(122, 180), (55, 191)]]"
105,1,337.776,['Hatchback'],"[[(119, 182), (33, 182)]]"
106,1,366.937,['Hatchback'],"[[(122, 180), (20, 160)]]"
107,1,456.582,['Hatchback'],"[[(121, 182), (9, 148)]]"
108,1,441.769,['Sedan'],"[[(119, 180), (0, 129)]]"
109,1,420.025,['Hatchback'],"[[(117, 178), (0, 119)]]"
110,1,365.789,['Hatchback'],"[[(122, 177), (0, 106)]]"
111,1,1514.397,['Hatchback'],"[[(118, 177), (0, 86)]]"
112,1,1232.981,['Sedan'],"[[(124, 177), (2, 69)]]"
113,1,714.176,['Hatchback'],"[[(121, 177), (0, 58)]]"
114,0,0.0,NA,NA
115,0,5.4510000000000005,NA,NA
116,0,1.087,NA,NA
117,0,0.0,NA,NA
118,0,0.0,NA,NA
119,0,3.999,NA,NA
120,0,0.0,NA,NA
121,0,0.28200000000000003,NA,NA
122,0,0.0,NA,NA
123,0,0.0,NA,NA
124,0,0.0,NA,NA
125,0,0.0,NA,NA
126,0,0.0,NA,NA
127,0,0.501,NA,NA
128,0,0.0,NA,NA
129,0,0.0,NA,NA
130,0,0.612,NA,NA
131,0,0.0,NA,NA
132,0,0.0,NA,NA
133,0,0.502,NA,NA
134,0,0.496,NA,NA
135,0,0.0,NA,NA
136,1,404.471,['Hatchback'],"[[(109, 180), (299, 359)]]"
137,1,527.8009999999999,['Hatchback'],"[[(109, 176), (289, 359)]]"
138,1,446.222,['Hatchback'],"[[(110, 173), (270, 360)]]"
139,1,406.9,['Sedan'],"[[(112, 170), (255, 360)]]"
140,1,369.21500000000003,['Hatchback'],"[[(114, 176), (242, 356)]]"
141,1,516.193,['Hatchback'],"[[(120, 175), (231, 360)]]"
