FNo,ObjectCount,Time,Type,start,end,ObjectColour
1,1,2100.07,Hatchback,"(102, 181)","(216, 360)",Black
2,1,81.136,Hatchback,"(99, 182)","(173, 360)",Black
3,1,86.67,Hatchback,"(100, 183)","(186, 331)",Black
4,1,60.31,Hatchback,"(99, 180)","(150, 337)",Black
5,1,80.255,Hatchback,"(97, 182)","(145, 318)",Black
6,1,68.254,Hatchback,"(98, 181)","(137, 296)",Black
7,1,40.069,Hatchback,"(99, 178)","(120, 280)",Black
8,1,73.604,Hatchback,"(98, 182)","(112, 258)",Black
9,1,83.152,Hatchback,"(102, 180)","(87, 252)",Black
10,1,85.659,Hatchback,"(101, 181)","(82, 228)",Black
11,1,71.21,Hatchback,"(100, 181)","(47, 225)",Black
12,1,65.998,Hatchback,"(100, 181)","(50, 193)",Black
13,1,63.001,Hatchback,"(101, 181)","(26, 190)",Black
14,1,51.998,Hatchback,"(100, 180)","(14, 172)",Black
15,1,77,Hatchback,"(99, 182)","(8, 151)",Black
16,1,66,Hatchback,"(100, 182)","(0, 134)",Black
17,1,51.009,Hatchback,"(101, 179)","(0, 123)",Black
18,1,62.988,Hatchback,"(105, 176)","(0, 109)",Black
19,1,61,Hatchback,"(102, 176)","(0, 93)",Black
20,1,63.002,Sedan,"(97, 181)","(0, 75)",Black
21,1,70.996,Hatchback,"(94, 184)","(0, 65)",Black
22,1,62.999,Sedan,"(101, 181)","(0, 40)",Black
23,0,0,NA,NA,NA,NA
24,0,0,NA,NA,NA,NA
25,0,0,NA,NA,NA,NA
26,0,0,NA,NA,NA,NA
27,0,0,NA,NA,NA,NA
28,0,0,NA,NA,NA,NA
29,0,0,NA,NA,NA,NA
30,0,0,NA,NA,NA,NA
31,0,0,NA,NA,NA,NA
32,0,0,NA,NA,NA,NA
33,0,0,NA,NA,NA,NA
34,0,0,NA,NA,NA,NA
35,0,0,NA,NA,NA,NA
36,0,0,NA,NA,NA,NA
37,0,0,NA,NA,NA,NA
38,0,0,NA,NA,NA,NA
39,0,0,NA,NA,NA,NA
40,0,0,NA,NA,NA,NA
41,0,0,NA,NA,NA,NA
42,0,0,NA,NA,NA,NA
43,0,0,NA,NA,NA,NA
44,0,0,NA,NA,NA,NA
45,0,0,NA,NA,NA,NA
46,0,0,NA,NA,NA,NA
47,0,0,NA,NA,NA,NA
48,0,2.006,NA,NA,NA,NA
49,0,0,NA,NA,NA,NA
50,0,0,NA,NA,NA,NA
51,0,0,NA,NA,NA,NA
52,0,0,NA,NA,NA,NA
53,0,0,NA,NA,NA,NA
54,1,100.777,Sedan,"(97, 182)","(294, 360)",Black
55,1,72.611,Sedan,"(90, 179)","(282, 360)",Black
56,1,101.283,Hatchback,"(96, 183)","(269, 356)",Black
57,1,71.265,Hatchback,"(96, 178)","(255, 360)",Black
58,1,90.618,Hatchback,"(98, 183)","(235, 360)",Black
59,1,100.87,Hatchback,"(95, 182)","(221, 356)",Black
60,1,70.517,Hatchback,"(100, 185)","(191, 353)",Black
61,1,70.623,Hatchback,"(99, 182)","(189, 329)",Black
62,1,100.887,Hatchback,"(98, 184)","(175, 316)",Black
63,1,111.316,Hatchback,"(100, 184)","(156, 302)",Black
64,1,92.753,Hatchback,"(98, 181)","(146, 284)",Black
65,1,93.136,Hatchback,"(102, 180)","(124, 276)",Black
66,1,80.595,Hatchback,"(96, 183)","(113, 255)",Black
67,1,78.506,Hatchback,"(99, 179)","(99, 239)",Black
68,1,64.908,Hatchback,"(100, 177)","(79, 229)",Black
69,1,69.013,Hatchback,"(98, 179)","(64, 209)",Black
70,1,69.011,Hatchback,"(96, 180)","(56, 194)",Black
71,1,53.376,Hatchback,"(95, 179)","(35, 181)",Black
72,1,56.712,Hatchback,"(97, 178)","(23, 165)",Black
73,1,100.257,Hatchback,"(95, 181)","(13, 147)",Black
74,1,84.626,Hatchback,"(97, 176)","(0, 136)",Black
75,1,62.494,Hatchback,"(101, 177)","(1, 117)",Black
76,1,57.001,Hatchback,"(101, 174)","(0, 102)",Black
77,1,77.995,Sedan,"(96, 174)","(0, 89)",Black
78,1,60,Hatchback,"(96, 177)","(0, 74)",Black
79,1,69.998,Sedan,"(86, 180)","(0, 59)",Black
80,1,69.998,Sedan,"(83, 177)","(0, 48)",Black
81,0,0,NA,NA,NA,NA
82,0,0,NA,NA,NA,NA
83,0,0,NA,NA,NA,NA
84,0,0,NA,NA,NA,NA
85,0,0,NA,NA,NA,NA
86,0,0,NA,NA,NA,NA
87,1,56.999,Sedan,"(104, 181)","(318, 360)",Silver
88,1,66.999,Sedan,"(99, 186)","(301, 357)",Silver
89,1,69.99,Sedan,"(98, 183)","(287, 357)",Silver
90,1,96,Hatchback,"(102, 182)","(273, 357)",Blue
91,1,79.999,Sedan,"(100, 183)","(258, 360)",Black
92,1,86.999,Hatchback,"(105, 182)","(238, 360)",Black
93,1,49.999,Sedan,"(103, 184)","(227, 360)",Black
94,1,88.002,Hatchback,"(100, 184)","(209, 354)",Black
95,1,72.999,Hatchback,"(104, 182)","(196, 335)",Black
96,1,64.999,Hatchback,"(103, 181)","(177, 329)",Black
97,1,55.994,Hatchback,"(105, 182)","(162, 306)",Black
98,1,56.624,Hatchback,"(101, 184)","(143, 294)",Black
99,1,68.404,Hatchback,"(103, 181)","(129, 274)",Black
100,1,68.412,Hatchback,"(103, 184)","(116, 261)",Black
101,1,70.41,Hatchback,"(101, 181)","(97, 243)",Black
102,1,80.578,Hatchback,"(103, 182)","(87, 230)",Black
103,1,83.112,Hatchback,"(101, 181)","(38, 243)",Silver
104,1,70.466,Hatchback,"(102, 180)","(55, 191)",Black
105,1,70.996,Hatchback,"(99, 182)","(33, 182)",Black
106,1,60.338,Hatchback,"(102, 180)","(20, 160)",Black
107,1,69.06,Hatchback,"(101, 182)","(9, 148)",Black
108,1,50.309,Sedan,"(99, 180)","(0, 129)",Black
109,1,82.762,Hatchback,"(97, 178)","(0, 119)",Black
110,1,56.104,Hatchback,"(102, 177)","(0, 106)",Black
111,1,85,Hatchback,"(98, 177)","(0, 86)",Black
112,1,61.999,Hatchback,"(104, 177)","(2, 69)",Black
113,1,72,Hatchback,"(101, 177)","(0, 58)",Black
114,0,0,NA,NA,NA,NA
115,0,0,NA,NA,NA,NA
116,0,0,NA,NA,NA,NA
117,0,0,NA,NA,NA,NA
118,0,0,NA,NA,NA,NA
119,0,0,NA,NA,NA,NA
120,0,0,NA,NA,NA,NA
121,0,0,NA,NA,NA,NA
122,0,0,NA,NA,NA,NA
123,0,0,NA,NA,NA,NA
124,0,0,NA,NA,NA,NA
125,0,0,NA,NA,NA,NA
126,0,0,NA,NA,NA,NA
127,0,0,NA,NA,NA,NA
128,0,0,NA,NA,NA,NA
129,0,0,NA,NA,NA,NA
130,0,0,NA,NA,NA,NA
131,0,0,NA,NA,NA,NA
132,0,0,NA,NA,NA,NA
133,0,0,NA,NA,NA,NA
134,0,0,NA,NA,NA,NA
135,0,0,NA,NA,NA,NA
136,1,81.065,Sedan,"(89, 180)","(299, 359)",Red
137,1,92.766,Sedan,"(89, 176)","(289, 359)",Red
138,1,90.64,Sedan,"(90, 173)","(270, 360)",Red
139,1,72.449,Sedan,"(92, 170)","(255, 360)",Red
140,1,82.528,Sedan,"(94, 176)","(242, 356)",Red
141,1,70.42,Sedan,"(100, 175)","(231, 360)",Red
142,1,97.783,Sedan,"(97, 173)","(215, 352)",Red
143,1,105.231,Hatchback,"(96, 173)","(201, 339)",Red
144,1,78.507,Hatchback,"(99, 174)","(184, 325)",Red
145,1,91.096,Hatchback,"(101, 175)","(172, 309)",Red
146,1,113.04,Hatchback,"(99, 174)","(156, 298)",Red
147,1,118.02,Sedan,"(96, 174)","(137, 275)",Red
148,1,128.998,Hatchback,"(94, 172)","(112, 271)",Red
149,1,163,Hatchback,"(96, 174)","(105, 244)",Red
150,1,153.997,Hatchback,"(96, 171)","(93, 231)",Red
151,1,183.677,Hatchback,"(98, 171)","(72, 216)",Red
152,1,113.055,Sedan,"(96, 171)","(67, 200)",Red
153,1,128.924,Hatchback,"(96, 173)","(43, 187)",Red
154,1,110.851,Hatchback,"(96, 172)","(32, 171)",Red
155,1,160.856,Sedan,"(94, 175)","(12, 159)",Red
156,1,141.18,Hatchback,"(99, 173)","(0, 143)",Red
157,1,160.419,Sedan,"(95, 174)","(0, 132)",Red
158,1,115,Sedan,"(100, 170)","(0, 111)",Red
159,1,113.999,Sedan,"(97, 169)","(0, 98)",Red
160,1,122.998,Sedan,"(96, 174)","(0, 78)",Red
161,1,115.998,Sedan,"(89, 174)","(0, 64)",Red
162,1,123.999,Sedan,"(79, 178)","(2, 48)",Red
163,0,0,NA,NA,NA,NA
164,1,97.998,Sedan,"(82, 169)","(1, 20)",Red
165,0,0,NA,NA,NA,NA
166,0,0,NA,NA,NA,NA
167,0,0,NA,NA,NA,NA
168,0,0,NA,NA,NA,NA
169,0,0,NA,NA,NA,NA
170,0,0,NA,NA,NA,NA
171,0,8.053,NA,NA,NA,NA
172,0,0,NA,NA,NA,NA
173,0,0,NA,NA,NA,NA
174,0,0,NA,NA,NA,NA
175,0,0,NA,NA,NA,NA
176,0,0,NA,NA,NA,NA
177,0,0,NA,NA,NA,NA
178,0,0,NA,NA,NA,NA
179,0,0,NA,NA,NA,NA
180,0,0,NA,NA,NA,NA
181,0,0,NA,NA,NA,NA
182,0,0,NA,NA,NA,NA
183,0,0,NA,NA,NA,NA
184,0,0,NA,NA,NA,NA
185,0,0,NA,NA,NA,NA
186,0,0,NA,NA,NA,NA
187,0,0,NA,NA,NA,NA
188,0,0,NA,NA,NA,NA
189,0,0,NA,NA,NA,NA
190,0,0,NA,NA,NA,NA
191,0,0,NA,NA,NA,NA
192,0,0,NA,NA,NA,NA
193,0,0,NA,NA,NA,NA
194,0,0,NA,NA,NA,NA
195,0,0,NA,NA,NA,NA
196,0,0,NA,NA,NA,NA
197,0,0,NA,NA,NA,NA
198,0,0,NA,NA,NA,NA
199,0,0,NA,NA,NA,NA
200,0,0,NA,NA,NA,NA
201,0,0.998,NA,NA,NA,NA
202,0,0,NA,NA,NA,NA
203,0,0,NA,NA,NA,NA
204,0,0,NA,NA,NA,NA
205,0,0,NA,NA,NA,NA
206,0,0,NA,NA,NA,NA
207,0,0,NA,NA,NA,NA
208,0,0,NA,NA,NA,NA
209,0,0,NA,NA,NA,NA
210,0,0,NA,NA,NA,NA
211,0,0,NA,NA,NA,NA
212,0,0,NA,NA,NA,NA
213,0,0,NA,NA,NA,NA
214,0,0,NA,NA,NA,NA
215,0,0,NA,NA,NA,NA
216,0,0,NA,NA,NA,NA
217,0,0,NA,NA,NA,NA
218,0,0,NA,NA,NA,NA
219,0,0,NA,NA,NA,NA
220,0,0,NA,NA,NA,NA
221,0,0,NA,NA,NA,NA
222,0,0,NA,NA,NA,NA
223,0,0,NA,NA,NA,NA
224,0,0,NA,NA,NA,NA
225,0,0,NA,NA,NA,NA
226,0,0,NA,NA,NA,NA
227,0,0,NA,NA,NA,NA
228,0,0,NA,NA,NA,NA
229,0,1,NA,NA,NA,NA
230,0,0,NA,NA,NA,NA
231,0,0,NA,NA,NA,NA
232,0,0,NA,NA,NA,NA
233,0,0,NA,NA,NA,NA
234,0,0,NA,NA,NA,NA
235,0,0,NA,NA,NA,NA
236,0,0,NA,NA,NA,NA
237,0,0,NA,NA,NA,NA
238,0,0,NA,NA,NA,NA
239,0,0,NA,NA,NA,NA
240,0,0,NA,NA,NA,NA
241,0,0,NA,NA,NA,NA
242,0,0.998,NA,NA,NA,NA
243,0,0,NA,NA,NA,NA
244,0,0,NA,NA,NA,NA
245,0,0,NA,NA,NA,NA
246,0,0,NA,NA,NA,NA
247,0,1,NA,NA,NA,NA
248,0,0,NA,NA,NA,NA
249,0,1,NA,NA,NA,NA
250,0,0,NA,NA,NA,NA
251,0,0,NA,NA,NA,NA
252,0,0,NA,NA,NA,NA
253,0,0,NA,NA,NA,NA
254,0,0,NA,NA,NA,NA
255,0,0,NA,NA,NA,NA
256,0,0,NA,NA,NA,NA
257,0,0,NA,NA,NA,NA
258,0,0,NA,NA,NA,NA
259,0,0,NA,NA,NA,NA
260,0,0,NA,NA,NA,NA
261,0,0,NA,NA,NA,NA
262,0,0,NA,NA,NA,NA
263,0,0,NA,NA,NA,NA
264,0,1,NA,NA,NA,NA
265,0,0,NA,NA,NA,NA
266,0,0,NA,NA,NA,NA
267,0,0,NA,NA,NA,NA
268,0,0,NA,NA,NA,NA
269,0,0,NA,NA,NA,NA
270,0,0,NA,NA,NA,NA
271,0,0,NA,NA,NA,NA
272,0,0,NA,NA,NA,NA
273,0,1.026,NA,NA,NA,NA
274,0,1.003,NA,NA,NA,NA
275,0,0,NA,NA,NA,NA
276,0,0,NA,NA,NA,NA
277,0,0,NA,NA,NA,NA
278,0,0,NA,NA,NA,NA
279,0,0,NA,NA,NA,NA
280,0,0.998,NA,NA,NA,NA
281,0,0,NA,NA,NA,NA
282,0,0,NA,NA,NA,NA
283,0,0,NA,NA,NA,NA
284,0,0,NA,NA,NA,NA
285,0,0,NA,NA,NA,NA
286,0,0,NA,NA,NA,NA
287,0,0,NA,NA,NA,NA
288,0,0,NA,NA,NA,NA
289,0,0,NA,NA,NA,NA
290,0,0.526,NA,NA,NA,NA
291,0,0,NA,NA,NA,NA
292,0,0,NA,NA,NA,NA
293,0,0,NA,NA,NA,NA
294,0,0,NA,NA,NA,NA
295,0,1.001,NA,NA,NA,NA
296,0,0,NA,NA,NA,NA
297,0,0,NA,NA,NA,NA
298,0,0,NA,NA,NA,NA
299,0,1.515,NA,NA,NA,NA
300,0,0,NA,NA,NA,NA
301,0,0,NA,NA,NA,NA
302,0,0,NA,NA,NA,NA
303,0,0,NA,NA,NA,NA
304,0,0,NA,NA,NA,NA
305,0,0.998,NA,NA,NA,NA
306,0,0,NA,NA,NA,NA
307,0,1.002,NA,NA,NA,NA
308,0,0,NA,NA,NA,NA
309,0,0,NA,NA,NA,NA
310,0,0,NA,NA,NA,NA
311,0,0,NA,NA,NA,NA
312,0,0.538,NA,NA,NA,NA
313,0,0,NA,NA,NA,NA
314,0,0,NA,NA,NA,NA
315,0,0,NA,NA,NA,NA
