Frame No,Q1,Q2,Q3,,Q1,Q2,Q3,,,,,
1,1869,4259,4259,,263608,317402,318081,,,,,
2,143,202,204,,,,,,Throughput,,,
3,83,144,145,,261596,312941,313618,,Query,Q1,Q2,Q3
4,130,194,196,,261.596,312.941,313.618,,Seconds,261.596,312.941,313.618
5,131,213,214,,4.359933333,5.215683333,5.226966667,,Minute,4.359933333,5.215683333,5.226966667
6,85,148,149,,,,,,,,,
7,92,132,133,,,,,,,,,
8,86,146,147,,,,,,,,,
9,102,152,152,,,,,,,,,
10,75,140,141,,,,,,,,,
11,76,137,137,,,,,,,,,
12,75,135,135,,,,,,,,,
13,80,138,138,,,,,,,,,
14,93,154,156,,,,,,,,,
15,113,176,176,,,,,,,,,
16,80,122,122,,,,,,,,,
17,81,141,141,,,,,,,,,
18,84,136,136,,,,,,,,,
19,80,154,154,,,,,,,,,
20,84,148,148,,,,,,,,,
21,81,137,137,,,,,,,,,
22,78,138,138,,,,,,,,,
23,79,80,80,,,,,,,,,
24,95,95,95,,,,,,,,,
25,79,79,79,,,,,,,,,
26,74,74,74,,,,,,,,,
27,92,92,92,,,,,,,,,
28,92,92,92,,,,,,,,,
29,99,99,99,,,,,,,,,
30,86,86,86,,,,,,,,,
31,92,92,92,,,,,,,,,
32,100,100,100,,,,,,,,,
33,96,96,97,,,,,,,,,
34,102,102,102,,,,,,,,,
35,107,107,107,,,,,,,,,
36,108,108,108,,,,,,,,,
37,102,102,103,,,,,,,,,
38,94,94,94,,,,,,,,,
39,99,99,99,,,,,,,,,
40,94,94,94,,,,,,,,,
41,76,76,76,,,,,,,,,
42,79,79,79,,,,,,,,,
43,81,81,81,,,,,,,,,
44,81,81,81,,,,,,,,,
45,73,73,73,,,,,,,,,
46,74,74,74,,,,,,,,,
47,80,80,80,,,,,,,,,
48,84,84,84,,,,,,,,,
49,75,75,75,,,,,,,,,
50,79,79,79,,,,,,,,,
51,74,74,74,,,,,,,,,
52,75,75,75,,,,,,,,,
53,74,74,74,,,,,,,,,
54,70,140,140,,,,,,,,,
55,90,165,165,,,,,,,,,
56,90,160,160,,,,,,,,,
57,90,169,169,,,,,,,,,
58,89,159,159,,,,,,,,,
59,94,170,170,,,,,,,,,
60,125,205,205,,,,,,,,,
61,89,174,174,,,,,,,,,
62,89,150,150,,,,,,,,,
63,85,158,158,,,,,,,,,
64,95,179,179,,,,,,,,,
65,97,154,154,,,,,,,,,
66,81,171,171,,,,,,,,,
67,79,159,159,,,,,,,,,
68,90,160,160,,,,,,,,,
69,90,154,154,,,,,,,,,
70,99,184,184,,,,,,,,,
71,84,169,173,,,,,,,,,
72,86,162,162,,,,,,,,,
73,82,145,145,,,,,,,,,
74,89,153,154,,,,,,,,,
75,90,183,185,,,,,,,,,
76,92,163,163,,,,,,,,,
77,101,191,191,,,,,,,,,
78,88,159,159,,,,,,,,,
79,105,194,194,,,,,,,,,
80,106,169,171,,,,,,,,,
81,86,86,86,,,,,,,,,
82,85,85,85,,,,,,,,,
83,84,84,84,,,,,,,,,
84,84,84,84,,,,,,,,,
85,79,79,79,,,,,,,,,
86,85,85,85,,,,,,,,,
87,79,168,168,,,,,,,,,
88,95,160,160,,,,,,,,,
89,93,169,171,,,,,,,,,
90,89,159,159,,,,,,,,,
91,100,179,179,,,,,,,,,
92,89,159,159,,,,,,,,,
93,94,160,160,,,,,,,,,
94,90,165,165,,,,,,,,,
95,90,160,160,,,,,,,,,
96,84,159,164,,,,,,,,,
97,90,175,180,,,,,,,,,
98,80,172,181,,,,,,,,,
99,86,153,153,,,,,,,,,
100,102,187,187,,,,,,,,,
101,99,169,169,,,,,,,,,
102,110,195,195,,,,,,,,,
103,110,199,199,,,,,,,,,
104,108,193,193,,,,,,,,,
105,120,229,229,,,,,,,,,
106,124,231,231,,,,,,,,,
107,125,208,208,,,,,,,,,
108,123,221,224,,,,,,,,,
109,118,218,218,,,,,,,,,
110,124,210,210,,,,,,,,,
111,125,225,225,,,,,,,,,
112,119,210,210,,,,,,,,,
113,120,230,230,,,,,,,,,
114,119,119,119,,,,,,,,,
115,109,109,109,,,,,,,,,
116,109,109,109,,,,,,,,,
117,110,110,110,,,,,,,,,
118,122,122,122,,,,,,,,,
119,114,114,115,,,,,,,,,
120,114,114,114,,,,,,,,,
121,116,116,116,,,,,,,,,
122,112,112,112,,,,,,,,,
123,106,106,106,,,,,,,,,
124,111,111,112,,,,,,,,,
125,111,111,111,,,,,,,,,
126,115,115,115,,,,,,,,,
127,107,107,107,,,,,,,,,
128,107,107,107,,,,,,,,,
129,113,113,113,,,,,,,,,
130,104,104,104,,,,,,,,,
131,109,109,109,,,,,,,,,
132,105,105,105,,,,,,,,,
133,104,104,104,,,,,,,,,
134,115,115,115,,,,,,,,,
135,104,104,104,,,,,,,,,
136,122,235,236,,,,,,,,,
137,115,213,213,,,,,,,,,
138,121,201,202,,,,,,,,,
139,124,215,215,,,,,,,,,
140,121,206,206,,,,,,,,,
141,124,219,219,,,,,,,,,
142,127,222,222,,,,,,,,,
143,123,213,214,,,,,,,,,
144,120,229,230,,,,,,,,,
145,129,216,217,,,,,,,,,
146,128,220,220,,,,,,,,,
147,120,198,200,,,,,,,,,
148,129,225,225,,,,,,,,,
149,120,210,212,,,,,,,,,
150,130,234,234,,,,,,,,,
151,125,214,215,,,,,,,,,
152,128,211,213,,,,,,,,,
153,119,204,204,,,,,,,,,
154,119,221,221,,,,,,,,,
155,114,205,205,,,,,,,,,
156,117,204,204,,,,,,,,,
157,121,199,200,,,,,,,,,
158,122,204,204,,,,,,,,,
159,124,209,210,,,,,,,,,
160,126,226,227,,,,,,,,,
161,121,209,211,,,,,,,,,
162,125,233,234,,,,,,,,,
163,112,112,112,,,,,,,,,
164,108,219,219,,,,,,,,,
165,113,113,113,,,,,,,,,
166,114,114,114,,,,,,,,,
167,112,112,112,,,,,,,,,
168,111,111,111,,,,,,,,,
169,112,112,112,,,,,,,,,
170,109,109,109,,,,,,,,,
171,115,115,115,,,,,,,,,
172,119,119,119,,,,,,,,,
173,110,110,110,,,,,,,,,
174,121,121,121,,,,,,,,,
175,110,110,110,,,,,,,,,
176,111,111,111,,,,,,,,,
177,112,112,112,,,,,,,,,
178,115,115,115,,,,,,,,,
179,116,116,116,,,,,,,,,
180,113,113,113,,,,,,,,,
181,116,116,116,,,,,,,,,
182,110,110,110,,,,,,,,,
183,106,106,106,,,,,,,,,
184,109,109,109,,,,,,,,,
185,107,107,107,,,,,,,,,
186,107,107,107,,,,,,,,,
187,106,110,110,,,,,,,,,
188,105,107,107,,,,,,,,,
189,102,102,102,,,,,,,,,
190,107,107,107,,,,,,,,,
191,102,102,102,,,,,,,,,
192,109,109,109,,,,,,,,,
193,100,100,100,,,,,,,,,
194,110,110,110,,,,,,,,,
195,109,109,109,,,,,,,,,
196,100,100,100,,,,,,,,,
197,114,114,114,,,,,,,,,
198,105,105,105,,,,,,,,,
199,99,99,99,,,,,,,,,
200,100,100,100,,,,,,,,,
201,99,99,99,,,,,,,,,
202,120,120,120,,,,,,,,,
203,105,105,105,,,,,,,,,
204,109,109,109,,,,,,,,,
205,105,105,105,,,,,,,,,
206,109,109,109,,,,,,,,,
207,99,99,99,,,,,,,,,
208,99,99,99,,,,,,,,,
209,100,100,100,,,,,,,,,
210,105,105,105,,,,,,,,,
211,109,109,109,,,,,,,,,
212,105,105,105,,,,,,,,,
213,104,104,104,,,,,,,,,
214,103,103,103,,,,,,,,,
215,105,105,105,,,,,,,,,
216,99,99,99,,,,,,,,,
217,105,105,105,,,,,,,,,
218,105,105,105,,,,,,,,,
219,108,108,108,,,,,,,,,
220,99,99,99,,,,,,,,,
221,106,106,106,,,,,,,,,
222,109,109,109,,,,,,,,,
223,100,100,100,,,,,,,,,
224,100,100,100,,,,,,,,,
225,110,110,110,,,,,,,,,
226,99,99,99,,,,,,,,,
